Sample,Time,0.4425/385,0.4498/625,0.4711/463,0.4715/659,0.4766/757,0.4772/675,0.4781/591,0.485/736,0.4887/223,0.489/699,0.4891/691,0.493/654,0.4941/925,0.4943/787,0.4971/637,0.4972/689,0.5047/627,0.5058/835,0.5327/267,0.5438/445,0.8564/715,1.0767/403,1.1583/767,1.1625/699,1.3234/331,1.4087/417,1.4112/485,1.5491/683,1.8172/475,1.8563/721,1.9734/851,1.9754/783,1.9887/474,2.6085/452,2.6114/520,2.7725/478,3.1514/919,3.1656/517,3.2501/568,3.4352/728,3.4383/660,3.7057/658,3.733/704,3.7339/636,3.7992/756,3.916/782,3.917/850,3.9806/473,3.9807/722,3.9862/634,4.2076/873,4.2116/941,4.2159/784,4.2193/852,4.2229/920,4.2912/664,4.3148/653,4.3965/1116,4.4961/849,4.4984/917,4.5023/828,4.5031/896,4.6889/1164,4.6892/944,4.6905/1022,4.6908/954,4.6918/971,4.6923/1012,4.694/927,4.6965/76,4.6972/794,4.6984/812,5.5282/820,5.5812/761,5.6299/960,5.6317/1164,5.6387/1086,5.6766/994,5.72/1012,5.7243/614,5.7927/839,5.7962/890,5.8357/974,5.8564/431,5.8801/952,5.8858/979
S5T0,0,241.59,146.33,198.78,909.08,177.26,262.23,5900.85,327.66,130.51,262.39,293.17,160.21,373.89,124.53,1143.02,275.09,270.89,702.41,262.12,68.13,98,90.27,0.5,71.43,0.5,441.2,58.48,57.83,75.75,137.57,0.5,116.03,243.45,215.56,25.44,8.94,290.03,109.54,0.5,99.87,807.11,522.26,234.96,1539.61,202.94,1082.73,187.59,491.02,137.04,871.65,590.15,115.2,1839.54,384.04,86.13,132.21,0.5,0.5,402.31,86.54,781.78,212.88,301.13,472.7,2541.85,6435.14,231.83,203.45,211.05,194.46,608.99,232.07,50015.31,3947.25,17532.91,426.05,259.58,111.48,292.24,83.11,1180,4243.5,748.47,371.61,1431.19,762.12
S5T1,1,192.95,109.1,161.53,792.05,134.94,222.68,7008.55,221.09,191.73,200.53,234.59,127.66,253.28,100.04,765.28,211.82,202.66,576.52,377.52,382.29,200.06,373.81,0.5,244.89,143.33,1970.61,184.69,209.63,198.71,823.62,68.89,395.57,423.12,567.29,74.85,32.35,535.81,221.59,34.08,121.84,1100.71,658.6,241.33,1778.45,272.61,1429.4,218.93,839.61,187.17,1075.59,843.65,174.25,2248.73,489.42,103.52,136.86,0.5,49.04,453.16,66.16,920.44,219.9,300.53,556,2718.5,7621.85,259.31,220.4,211.87,346.29,692.21,334.54,44164.25,4337.76,17663.86,415.83,256.82,103.42,294.77,215.49,1252.78,4485.31,763.32,325.07,2116.31,1137.97
S5T2,2,214.74,178.69,247.61,650.85,149.39,185.3,5962.55,158.6,165.95,181.36,174.77,112.25,265.07,93.22,565.2,160.17,189.49,683.74,471.9,701.3,91.53,166.56,0.5,72.19,88.26,833.62,107.3,63.37,110.58,2340.5,60.93,166.71,465.09,990.69,140.72,97.01,450.27,105.27,136.81,288.97,2145.96,1277.4,559.38,4015.96,604.34,3973.18,578.75,669.86,281.57,2379.21,2205.11,350.68,6716.22,1169.55,278.18,488.51,113.96,626.69,1245.16,225.35,2327.93,509.69,648.57,1276.68,6051.78,20131.33,598.75,402.65,305.97,1637.28,1764.68,748.74,64337.75,7051.5,26519.21,80.11,60.9,0.5,503.69,711.03,2228.81,6157.54,1904.74,994.2,3223.3,1636.57
S5T3,3,98.69,233.61,122.94,386.48,134.12,99.44,3552.91,122.94,132.7,122.36,107.34,63.24,127.07,54.36,337.97,91.06,114.25,262.73,462.49,641.63,165.03,128.87,0.5,165.72,94.56,720.62,81.84,117.04,111.2,1270.54,61.67,257.36,278.63,549.57,57.54,40.19,420.87,159.17,47.93,121.34,1044.78,705.68,241.9,1538.5,249.93,1602.14,262.48,723.01,122.2,1241.55,881.12,165.69,2568.86,490.97,152.02,163.79,67.35,152.72,443.78,94.56,947.69,238.77,369.73,615.43,3126.46,9190,286.6,268.58,228.65,280.6,790.61,461.81,44537.81,4552.91,19316.28,303.36,207.7,83.93,292.42,380.48,1111.84,3636.49,845.74,263.21,2362.19,1157.57
S6T0,0,270.03,154.27,167.38,897.32,163.22,268.97,5820.84,285.37,127.33,265.6,279.43,155.91,361.44,142.19,1100.27,265.54,275.29,642.02,248.86,55.69,84.41,83.55,0.5,74.27,0.5,484.22,50.86,59.31,57.72,268.13,30.72,107.24,239.57,213.48,19.15,12.72,292.72,88.36,18.07,133.52,776.76,493.86,208.32,1471.58,218.96,1056.67,176.95,427.74,126.77,828.91,638.88,126.22,1924.72,361.15,83.72,177.8,0.5,0.5,389.53,73.89,800.49,177.69,282.82,514.05,2496.94,6685.85,238.83,198.74,212.97,198.95,622.07,217.9,47012.25,3961.28,16744.67,382.71,283.58,110.08,358.13,103.04,1157.46,4008.61,703.63,369.86,1793.63,803.95
S6T1,1,176.79,138.81,186.12,729.1,146.12,206.42,6907.52,230.5,207.66,204.65,230.53,141.24,261.46,96.18,744.14,183.27,252.88,607.76,400.58,374.81,184.67,373.9,22.88,268.45,139.98,1885.02,201.15,87.78,228.75,837.41,63.36,388.24,477.55,476.37,56.77,33.18,534.45,226.1,36.95,0.5,1033.03,646.1,235.77,1765.5,309.79,1409.37,217.48,801.47,145.17,978.38,867.82,154.61,2317.05,445.4,86.72,158.47,17.88,42.3,479.57,88.42,896.32,220.12,318.12,583.21,2786.87,7078.49,313.66,202.02,208.38,231.85,665.67,357.3,44282.25,4291.23,16594.59,412.01,225.86,86.85,286.9,209.18,1246.5,4499.04,829,392.52,2199.58,1027.69
S6T2,2,208.73,157.97,194.59,638.99,148.26,185.65,5873.86,196.17,153.23,168.21,188.53,107.8,267.78,101,532.72,182.27,167.91,676.52,493.98,721.5,97.03,170.02,0.5,81.28,79.35,928.41,90.61,54.63,123.94,2310.36,0.5,137.81,444.63,1013.59,117.62,92.36,446.43,103.52,117.86,278.43,2056.61,1228.29,591.77,4049.55,600.69,3991.23,601.63,690.58,276.44,2298.34,2148.21,361.57,6558.46,1214.79,274.9,425.7,108.09,592.33,1264.32,224.25,2283.85,532.2,605.29,1273.75,5995.05,20226.23,543.44,414.16,284.11,1431.42,1736.73,751.76,65547.31,6831.59,25916.69,105.53,58.99,15.78,486.27,658.4,2199.19,5909.98,1854.97,1043.77,3033.18,1605.93
S6T3,3,78.04,213.18,93.05,420.19,108.68,95.57,3569.55,118.67,107.23,111.58,110.94,75.36,135.44,53.8,369.91,105.09,109.62,277.45,477.73,650.98,149.58,119.89,0.5,198.61,94.67,745.63,68.44,132.43,106.3,1236.7,78.44,270.73,294.11,542.06,67.64,38.35,421.37,172.23,66.74,137.31,1002.98,731.59,214.34,1479.05,262.34,1564.54,252.71,739.94,145.96,1153.43,784.5,156.15,2587.08,482.02,120.81,142.97,72.42,182.1,456.04,95.4,971.21,252.17,348.14,672.03,3313.27,9541.55,289.68,237.79,200.97,374.79,828.04,432.06,46101.5,4739.89,19070.69,287.5,218.03,78.54,267.57,364.2,1111.21,3868.38,836.7,271.02,2614.33,1355.96
S7T0,0,247.82,176.06,208.24,967.92,159.39,282.9,7053.16,302.9,139.5,278.34,282.18,171.12,286.7,134.41,1195.89,258.19,234.71,925.22,280.01,39.53,371.6,79.19,59.66,433.62,0.5,453.53,69.25,339.34,59.52,2279.07,98.62,683.28,160.77,227.57,26.91,0.5,755.47,129.02,23.92,133.9,900.87,620,240.42,1636.31,308.44,1064.97,171.66,559.69,155.03,1117.18,645.2,109.63,2274.48,542.5,118.38,168.69,0.5,0.5,450.93,91.39,864.02,183.23,332.32,578.57,3157.7,8115.91,294.32,225.58,214.08,413.93,612.25,399.87,46398.06,4388.3,18484.84,408.12,273.45,79.9,310.25,167.44,1339.9,4736.67,751.95,734.1,2327.88,1093.32
S7T1,1,176.51,108.79,150.15,765.14,140.75,215.2,6848.23,203.84,172.98,214.83,233.76,136.21,168.92,100.74,789.17,201.25,198.94,602.78,383.87,341.24,245.1,338.38,33.95,314.16,117.94,1639,166.79,220.74,181.63,809.58,91.52,522.34,428.83,483.98,51.11,27.2,675.77,188.93,43.97,133.66,927.06,689.21,277.33,1830.5,307.04,1221.96,228.04,832.89,163.5,1298.03,679.86,126.21,2632.79,477.37,97,205.16,0.5,55.66,550.04,107.47,1022.4,213.8,334.07,610.88,3266.96,9608.19,309.57,224.14,221.02,365.31,685.56,425.53,43269.38,4634.18,15894.09,357.32,201.39,58.42,297.52,186.31,1362.09,4573.38,679.78,421.65,2472.39,1200.77
